application_id,applicant_id,cohort_id,channel_id,application_date,eligibility_status,interview_result,offer_status,application_status,stage,exit_reason_id
4362,4362,57,3,2022-03-19,Eligible,Passed,Offered,Enrolled,Selection,
4363,4363,50,2,2022-06-03,Eligible,Passed,Offered,Enrolled,Selection,
4364,4364,50,2,2022-01-01,Eligible,Passed,Offered,Enrolled,Selection,
4365,4365,52,3,2022-05-20,Eligible,Passed,Offered,Enrolled,Selection,
4366,4366,52,1,2022-05-03,Eligible,Passed,Offered,Enrolled,Selection,
4367,4367,48,4,2022-12-14,Eligible,Passed,Offered,Enrolled,Selection,
4368,4368,56,4,2022-12-07,Eligible,Passed,Offered,Enrolled,Selection,
4369,4369,47,3,2022-06-14,Eligible,Passed,Offered,Enrolled,Selection,
4370,4370,49,1,2022-03-12,Not Eligible,Not Interviewed,Not Offered,Rejected,Eligibility,1.0
4371,4371,46,1,2022-01-05,Eligible,Passed,Offered,Enrolled,Selection,
4372,4372,52,4,2022-09-06,Eligible,Passed,Offered,Enrolled,Selection,
4373,4373,52,1,2022-04-16,Eligible,Failed,Not Offered,Rejected,Interview,6.0
4374,4374,57,1,2022-08-19,Eligible,Passed,Offered,Enrolled,Selection,
4375,4375,53,2,2022-01-13,Eligible,Passed,Offered,Enrolled,Selection,
4376,4376,47,1,2022-01-09,Eligible,Passed,Offered,Enrolled,Selection,
4377,4377,49,1,2022-08-03,Eligible,Passed,Offered,Enrolled,Selection,
4378,4378,51,1,2022-09-08,Eligible,Passed,Offered,Enrolled,Selection,
4379,4379,49,5,2022-06-09,Eligible,Failed,Not Offered,Rejected,Interview,6.0
4380,4380,54,1,2022-12-11,Eligible,Passed,Offered,Enrolled,Selection,
4381,4381,52,2,2022-10-08,Eligible,Passed,Offered,Enrolled,Selection,
4382,4382,50,1,2022-11-23,Eligible,Passed,Offered,Enrolled,Selection,
4383,4383,46,3,2022-11-09,Eligible,Failed,Not Offered,Rejected,Interview,7.0
4384,4384,49,1,2022-02-09,Eligible,Passed,Offered,Enrolled,Selection,
4385,4385,47,2,2022-07-16,Eligible,Passed,Offered,Enrolled,Selection,
4386,4386,56,1,2022-12-13,Eligible,Passed,Offered,Enrolled,Selection,
4387,4387,56,5,2022-07-24,Eligible,Passed,Offered,Enrolled,Selection,
4388,4388,52,1,2022-02-08,Eligible,Passed,Offered,Enrolled,Selection,
4389,4389,55,3,2022-04-23,Eligible,Passed,Offered,Enrolled,Selection,
4390,4390,46,2,2022-12-21,Eligible,Passed,Offered,Enrolled,Selection,
4391,4391,46,4,2022-09-28,Eligible,Passed,Offered,Enrolled,Selection,
4392,4392,56,3,2022-04-21,Eligible,Failed,Not Offered,Rejected,Interview,7.0
4393,4393,52,3,2022-01-04,Eligible,Failed,Not Offered,Rejected,Interview,6.0
4394,4394,47,3,2022-01-27,Eligible,Passed,Offered,Enrolled,Selection,
4395,4395,53,1,2022-03-27,Eligible,Passed,Offered,Enrolled,Selection,
4396,4396,46,5,2022-09-17,Eligible,Failed,Not Offered,Rejected,Interview,6.0
4397,4397,50,2,2022-05-09,Not Eligible,Not Interviewed,Not Offered,Rejected,Eligibility,4.0
4398,4398,49,2,2022-12-19,Eligible,Failed,Not Offered,Rejected,Interview,7.0
4399,4399,57,1,2022-01-15,Eligible,Passed,Offered,Enrolled,Selection,
4400,4400,54,1,2022-04-09,Eligible,Passed,Offered,Enrolled,Selection,
4401,4401,48,1,2022-08-12,Eligible,Passed,Offered,Enrolled,Selection,
4402,4402,51,3,2022-09-24,Eligible,Failed,Not Offered,Rejected,Interview,6.0
4403,4403,53,5,2022-07-08,Eligible,Passed,Offered,Enrolled,Selection,
4404,4404,50,1,2022-09-03,Eligible,Passed,Offered,Enrolled,Selection,
4405,4405,51,3,2022-08-22,Eligible,Passed,Offered,Enrolled,Selection,
4406,4406,47,1,2022-03-05,Eligible,Passed,Offered,Enrolled,Selection,
4407,4407,56,1,2022-08-24,Eligible,Passed,Offered,Enrolled,Selection,
4408,4408,49,3,2022-12-10,Eligible,Passed,Offered,Enrolled,Selection,
4409,4409,50,4,2022-05-03,Eligible,Passed,Offered,Enrolled,Selection,
4410,4410,53,2,2022-03-07,Eligible,Passed,Offered,Enrolled,Selection,
4411,4411,51,5,2022-08-23,Eligible,Passed,Offered,Enrolled,Selection,
4412,4412,49,1,2022-09-20,Eligible,Passed,Offered,Enrolled,Selection,
4413,4413,50,4,2022-05-17,Eligible,Passed,Offered,Enrolled,Selection,
4414,4414,56,3,2022-05-17,Eligible,Passed,Offered,Enrolled,Selection,
4415,4415,53,3,2022-05-27,Eligible,Passed,Offered,Enrolled,Selection,
4416,4416,53,2,2022-05-25,Eligible,Passed,Offered,Enrolled,Selection,
4417,4417,55,4,2022-02-02,Eligible,Passed,Offered,Enrolled,Selection,
4418,4418,53,1,2022-06-27,Eligible,Passed,Offered,Enrolled,Selection,
4419,4419,50,3,2022-06-04,Eligible,Passed,Offered,Enrolled,Selection,
4420,4420,51,3,2022-03-28,Eligible,Passed,Offered,Enrolled,Selection,
4421,4421,49,3,2022-11-07,Eligible,Passed,Offered,Enrolled,Selection,
4422,4422,50,2,2022-02-27,Eligible,Passed,Offered,Enrolled,Selection,
4423,4423,53,2,2022-08-11,Eligible,Passed,Offered,Enrolled,Selection,
4424,4424,52,2,2022-02-14,Eligible,Passed,Offered,Enrolled,Selection,
4425,4425,46,3,2022-11-01,Eligible,Passed,Offered,Enrolled,Selection,
4426,4426,52,1,2022-05-18,Eligible,Passed,Offered,Enrolled,Selection,
4427,4427,55,3,2022-04-22,Eligible,Passed,Offered,Enrolled,Selection,
4428,4428,55,2,2022-04-11,Eligible,Failed,Not Offered,Rejected,Interview,6.0
4429,4429,49,4,2022-04-06,Eligible,Failed,Not Offered,Rejected,Interview,7.0
4430,4430,50,2,2022-06-10,Eligible,Passed,Offered,Enrolled,Selection,
4431,4431,48,1,2022-06-01,Eligible,Passed,Offered,Enrolled,Selection,
4432,4432,51,3,2022-04-21,Eligible,Passed,Offered,Enrolled,Selection,
4433,4433,53,2,2022-08-06,Eligible,Passed,Offered,Enrolled,Selection,
4434,4434,48,1,2022-01-08,Eligible,Passed,Offered,Enrolled,Selection,
4435,4435,55,1,2022-08-18,Eligible,Passed,Offered,Enrolled,Selection,
4436,4436,48,3,2022-05-17,Eligible,Passed,Offered,Enrolled,Selection,
4437,4437,54,2,2022-04-27,Eligible,Passed,Offered,Enrolled,Selection,
4438,4438,50,1,2022-01-19,Eligible,Passed,Offered,Enrolled,Selection,
4439,4439,49,5,2022-09-24,Eligible,Passed,Offered,Enrolled,Selection,
4440,4440,57,3,2022-11-15,Eligible,Passed,Offered,Enrolled,Selection,
4441,4441,57,1,2022-04-24,Eligible,Passed,Offered,Enrolled,Selection,
4442,4442,48,6,2022-01-04,Eligible,Passed,Offered,Enrolled,Selection,
4443,4443,51,4,2022-11-03,Eligible,Passed,Offered,Enrolled,Selection,
4444,4444,53,1,2022-01-22,Eligible,Passed,Offered,Enrolled,Selection,
4445,4445,54,1,2022-05-08,Eligible,Passed,Offered,Enrolled,Selection,
4446,4446,46,3,2022-02-12,Eligible,Passed,Offered,Enrolled,Selection,
4447,4447,47,5,2022-07-11,Eligible,Passed,Offered,Enrolled,Selection,
4448,4448,53,3,2022-01-15,Eligible,Passed,Offered,Enrolled,Selection,
4449,4449,53,1,2022-11-11,Eligible,Failed,Not Offered,Rejected,Interview,7.0
4450,4450,57,6,2022-08-23,Eligible,Passed,Offered,Enrolled,Selection,
4451,4451,54,1,2022-04-09,Eligible,Passed,Offered,Enrolled,Selection,
4452,4452,52,2,2022-08-22,Eligible,Passed,Offered,Enrolled,Selection,
4453,4453,51,2,2022-08-11,Eligible,Passed,Offered,Enrolled,Selection,
4454,4454,46,2,2022-03-25,Eligible,Passed,Offered,Enrolled,Selection,
4455,4455,51,3,2022-03-17,Eligible,Passed,Offered,Enrolled,Selection,
4456,4456,51,3,2022-01-27,Eligible,Passed,Offered,Enrolled,Selection,
4457,4457,55,4,2022-07-02,Eligible,Failed,Not Offered,Rejected,Interview,6.0
4458,4458,49,5,2022-10-23,Eligible,Passed,Offered,Enrolled,Selection,
4459,4459,47,1,2022-12-11,Eligible,Passed,Offered,Enrolled,Selection,
4460,4460,53,1,2022-06-14,Eligible,Passed,Offered,Enrolled,Selection,
4461,4461,53,1,2022-05-11,Eligible,Failed,Not Offered,Rejected,Interview,7.0
4462,4462,50,3,2022-11-18,Eligible,Passed,Offered,Enrolled,Selection,
4463,4463,51,4,2022-01-12,Eligible,Passed,Offered,Enrolled,Selection,
4464,4464,52,5,2022-10-11,Eligible,Passed,Offered,Enrolled,Selection,
4465,4465,48,1,2022-01-28,Eligible,Failed,Not Offered,Rejected,Interview,6.0
4466,4466,51,1,2022-01-18,Eligible,Passed,Offered,Enrolled,Selection,
4467,4467,46,1,2022-07-12,Eligible,Failed,Not Offered,Rejected,Interview,7.0
4468,4468,49,3,2022-06-22,Eligible,Passed,Offered,Enrolled,Selection,
4469,4469,56,3,2022-05-26,Eligible,Passed,Offered,Enrolled,Selection,
4470,4470,52,1,2022-01-04,Eligible,Passed,Offered,Enrolled,Selection,
4471,4471,53,6,2022-10-07,Eligible,Passed,Offered,Enrolled,Selection,
4472,4472,46,1,2022-04-27,Eligible,Failed,Not Offered,Rejected,Interview,6.0
4473,4473,51,3,2022-11-19,Eligible,Passed,Offered,Enrolled,Selection,
4474,4474,54,3,2022-02-26,Eligible,Passed,Offered,Enrolled,Selection,
4475,4475,56,1,2022-05-24,Eligible,Failed,Not Offered,Rejected,Interview,6.0
4476,4476,51,3,2022-12-28,Eligible,Passed,Offered,Enrolled,Selection,
4477,4477,51,3,2022-07-22,Eligible,Passed,Offered,Enrolled,Selection,
4478,4478,52,1,2022-10-21,Eligible,Passed,Offered,Enrolled,Selection,
4479,4479,49,3,2022-03-03,Eligible,Passed,Offered,Enrolled,Selection,
4480,4480,49,2,2022-02-10,Eligible,Passed,Offered,Enrolled,Selection,
4481,4481,49,4,2022-09-04,Eligible,Passed,Offered,Enrolled,Selection,
4482,4482,51,2,2022-09-01,Eligible,Passed,Offered,Enrolled,Selection,
4483,4483,46,4,2022-02-25,Eligible,Passed,Offered,Enrolled,Selection,
4484,4484,47,1,2022-09-03,Eligible,Passed,Offered,Enrolled,Selection,
4485,4485,47,3,2022-12-11,Eligible,Passed,Offered,Enrolled,Selection,
4486,4486,49,1,2022-01-01,Eligible,Passed,Offered,Enrolled,Selection,
4487,4487,48,1,2022-12-26,Eligible,Passed,Offered,Enrolled,Selection,
4488,4488,49,3,2022-10-26,Eligible,Passed,Offered,Enrolled,Selection,
4489,4489,54,3,2022-04-22,Eligible,Passed,Offered,Enrolled,Selection,
4490,4490,50,1,2022-08-28,Eligible,Passed,Offered,Enrolled,Selection,
4491,4491,57,1,2022-10-04,Eligible,Passed,Offered,Enrolled,Selection,
4492,4492,48,1,2022-07-19,Eligible,Passed,Offered,Enrolled,Selection,
4493,4493,50,1,2022-07-26,Eligible,Passed,Offered,Enrolled,Selection,
4494,4494,53,2,2022-12-26,Eligible,Failed,Not Offered,Rejected,Interview,7.0
4495,4495,46,4,2022-07-21,Eligible,Passed,Offered,Enrolled,Selection,
4496,4496,52,5,2022-10-01,Eligible,Failed,Not Offered,Rejected,Interview,6.0
4497,4497,52,7,2022-10-17,Eligible,Passed,Offered,Enrolled,Selection,
4498,4498,48,1,2022-11-06,Eligible,Passed,Offered,Enrolled,Selection,
4499,4499,56,1,2022-07-24,Eligible,Passed,Offered,Rejected,Selection,5.0
4500,4500,49,1,2022-05-27,Eligible,Passed,Offered,Rejected,Selection,5.0
4501,4501,48,1,2022-07-19,Eligible,Passed,Offered,Rejected,Selection,5.0
4502,4502,47,2,2022-10-23,Eligible,Passed,Offered,Rejected,Selection,5.0
4503,4503,52,1,2022-06-20,Eligible,Passed,Offered,Rejected,Selection,5.0
4504,4504,46,3,2022-10-07,Eligible,Passed,Offered,Rejected,Selection,5.0
4505,4505,57,1,2022-12-13,Not Eligible,Not Interviewed,Not Offered,Rejected,Eligibility,2.0
4506,4506,52,5,2022-11-03,Eligible,Passed,Offered,Rejected,Selection,5.0
4507,4507,52,1,2022-07-17,Eligible,Passed,Offered,Rejected,Selection,5.0
4508,4508,47,2,2022-10-28,Eligible,Failed,Not Offered,Rejected,Interview,7.0
4509,4509,48,4,2022-10-27,Eligible,Passed,Offered,Rejected,Selection,5.0
4510,4510,48,4,2022-11-02,Eligible,Passed,Offered,Rejected,Selection,5.0
4511,4511,49,1,2022-10-09,Eligible,Failed,Not Offered,Rejected,Interview,6.0
4512,4512,48,5,2022-04-22,Eligible,Passed,Offered,Rejected,Selection,5.0
4513,4513,53,2,2022-12-01,Eligible,Passed,Offered,Rejected,Selection,5.0
4514,4514,55,1,2022-12-21,Eligible,Failed,Not Offered,Rejected,Interview,6.0
4515,4515,54,3,2022-03-13,Eligible,Failed,Not Offered,Rejected,Interview,6.0
4516,4516,57,1,2022-10-11,Eligible,Failed,Not Offered,Rejected,Interview,6.0
4517,4517,56,1,2022-07-16,Eligible,Passed,Offered,Rejected,Selection,5.0
4518,4518,47,2,2022-02-12,Eligible,Failed,Not Offered,Rejected,Interview,7.0
4519,4519,54,3,2022-10-09,Eligible,Passed,Offered,Rejected,Selection,5.0
4520,4520,49,5,2022-10-05,Eligible,Passed,Offered,Rejected,Selection,5.0
4521,4521,46,3,2022-07-19,Eligible,Passed,Offered,Rejected,Selection,5.0
4522,4522,56,1,2022-06-28,Eligible,Passed,Offered,Rejected,Selection,5.0
4523,4523,49,5,2022-05-12,Eligible,Failed,Not Offered,Rejected,Interview,7.0
4524,4524,49,2,2022-10-18,Eligible,Failed,Not Offered,Rejected,Interview,7.0
4525,4525,53,3,2022-08-04,Eligible,Passed,Offered,Rejected,Selection,5.0
4526,4526,48,1,2022-08-02,Eligible,Passed,Offered,Rejected,Selection,5.0
4527,4527,52,3,2022-07-06,Eligible,Passed,Offered,Rejected,Selection,5.0
4528,4528,46,1,2022-12-02,Eligible,Passed,Offered,Rejected,Selection,5.0
4529,4529,48,5,2022-07-13,Eligible,Failed,Not Offered,Rejected,Interview,6.0
4530,4530,53,2,2022-07-15,Eligible,Passed,Offered,Rejected,Selection,5.0
4531,4531,57,6,2022-01-27,Eligible,Passed,Offered,Rejected,Selection,5.0
4532,4532,49,1,2022-08-26,Eligible,Passed,Offered,Rejected,Selection,5.0
4533,4533,56,1,2022-11-05,Eligible,Passed,Offered,Rejected,Selection,5.0
4534,4534,52,1,2022-04-24,Eligible,Passed,Offered,Rejected,Selection,5.0
4535,4535,53,1,2022-04-12,Eligible,Passed,Offered,Rejected,Selection,5.0
4536,4536,56,1,2022-03-18,Eligible,Passed,Offered,Rejected,Selection,5.0
4537,4537,46,1,2022-07-02,Eligible,Passed,Offered,Rejected,Selection,5.0
4538,4538,50,1,2022-05-17,Eligible,Passed,Offered,Rejected,Selection,5.0
4539,4539,49,4,2022-11-18,Eligible,Passed,Offered,Rejected,Selection,5.0
4540,4540,46,1,2022-01-11,Eligible,Passed,Offered,Rejected,Selection,5.0
4541,4541,48,2,2022-04-27,Eligible,Passed,Offered,Rejected,Selection,5.0
4542,4542,57,3,2022-03-19,Not Eligible,Not Interviewed,Not Offered,Rejected,Eligibility,4.0
4543,4543,47,1,2022-11-07,Eligible,Passed,Offered,Rejected,Selection,5.0
4544,4544,49,6,2022-12-12,Eligible,Passed,Offered,Rejected,Selection,5.0
4545,4545,55,3,2022-10-17,Eligible,Failed,Not Offered,Rejected,Interview,6.0
4546,4546,50,5,2022-01-04,Eligible,Passed,Offered,Rejected,Selection,5.0
4547,4547,52,5,2022-07-16,Eligible,Passed,Offered,Rejected,Selection,5.0
4548,4548,56,3,2022-07-02,Eligible,Passed,Offered,Rejected,Selection,5.0
4549,4549,49,1,2022-07-15,Eligible,Failed,Not Offered,Rejected,Interview,7.0
4550,4550,52,2,2022-05-14,Eligible,Passed,Offered,Rejected,Selection,5.0
4551,4551,54,3,2022-08-19,Eligible,Passed,Offered,Rejected,Selection,5.0
4552,4552,49,3,2022-08-12,Eligible,Passed,Offered,Rejected,Selection,5.0
4553,4553,50,3,2022-11-25,Eligible,Passed,Offered,Rejected,Selection,5.0
4554,4554,57,1,2022-09-04,Eligible,Passed,Offered,Rejected,Selection,5.0
4555,4555,55,1,2022-01-06,Eligible,Passed,Offered,Rejected,Selection,5.0
4556,4556,48,2,2022-08-01,Eligible,Failed,Not Offered,Rejected,Interview,7.0
4557,4557,54,1,2022-02-02,Eligible,Passed,Offered,Rejected,Selection,5.0
4558,4558,55,1,2022-12-16,Eligible,Passed,Offered,Rejected,Selection,5.0
4559,4559,52,4,2022-03-25,Eligible,Passed,Offered,Rejected,Selection,5.0
4560,4560,52,3,2022-08-18,Eligible,Passed,Offered,Rejected,Selection,5.0
4561,4561,55,3,2022-09-08,Eligible,Passed,Offered,Rejected,Selection,5.0
4562,4562,52,1,2022-03-25,Eligible,Passed,Offered,Rejected,Selection,5.0
4563,4563,46,2,2022-06-09,Not Eligible,Not Interviewed,Not Offered,Rejected,Eligibility,1.0
4564,4564,52,1,2022-06-21,Eligible,Passed,Offered,Rejected,Selection,5.0
4565,4565,54,1,2022-04-10,Eligible,Passed,Offered,Rejected,Selection,5.0
4566,4566,52,3,2022-09-08,Eligible,Failed,Not Offered,Rejected,Interview,6.0
4567,4567,48,1,2022-08-18,Eligible,Passed,Offered,Rejected,Selection,5.0
4568,4568,57,3,2022-07-12,Eligible,Passed,Offered,Rejected,Selection,5.0
4569,4569,46,1,2022-10-13,Eligible,Passed,Offered,Rejected,Selection,5.0
4570,4570,46,2,2022-10-10,Eligible,Passed,Offered,Rejected,Selection,5.0
4571,4571,52,1,2022-02-12,Eligible,Passed,Offered,Rejected,Selection,5.0
4572,4572,54,3,2022-04-12,Eligible,Passed,Offered,Rejected,Selection,5.0
4573,4573,46,2,2022-09-20,Eligible,Failed,Not Offered,Rejected,Interview,6.0
4574,4574,46,6,2022-02-12,Eligible,Passed,Offered,Rejected,Selection,5.0
4575,4575,52,1,2022-05-23,Eligible,Passed,Offered,Rejected,Selection,5.0
4576,4576,53,2,2022-03-15,Eligible,Passed,Offered,Rejected,Selection,5.0
4577,4577,57,1,2022-08-25,Eligible,Passed,Offered,Rejected,Selection,5.0
4578,4578,52,3,2022-03-18,Eligible,Failed,Not Offered,Rejected,Interview,6.0
4579,4579,50,2,2022-09-19,Eligible,Passed,Offered,Rejected,Selection,5.0
4580,4580,49,2,2022-10-01,Eligible,Passed,Offered,Rejected,Selection,5.0
4581,4581,48,4,2022-03-11,Eligible,Failed,Not Offered,Rejected,Interview,7.0
4582,4582,48,1,2022-05-14,Eligible,Failed,Not Offered,Rejected,Interview,7.0
4583,4583,48,1,2022-03-27,Eligible,Passed,Offered,Rejected,Selection,5.0
4584,4584,46,1,2022-03-20,Eligible,Failed,Not Offered,Rejected,Interview,7.0
4585,4585,56,3,2022-08-15,Eligible,Passed,Offered,Rejected,Selection,5.0
4586,4586,46,2,2022-01-12,Eligible,Passed,Offered,Rejected,Selection,5.0
4587,4587,50,2,2022-03-09,Eligible,Passed,Offered,Rejected,Selection,5.0
4588,4588,56,1,2022-03-18,Eligible,Failed,Not Offered,Rejected,Interview,6.0
4589,4589,55,7,2022-06-07,Eligible,Passed,Offered,Rejected,Selection,5.0
4590,4590,48,2,2022-08-06,Eligible,Passed,Offered,Rejected,Selection,5.0
4591,4591,53,4,2022-09-06,Eligible,Passed,Offered,Rejected,Selection,5.0
4592,4592,56,1,2022-08-03,Eligible,Passed,Offered,Rejected,Selection,5.0
4593,4593,46,1,2022-07-23,Eligible,Passed,Offered,Rejected,Selection,5.0
4594,4594,48,1,2022-07-04,Eligible,Passed,Offered,Rejected,Selection,5.0
4595,4595,50,4,2022-11-09,Eligible,Passed,Offered,Rejected,Selection,5.0
4596,4596,46,4,2022-03-06,Eligible,Passed,Offered,Rejected,Selection,5.0
4597,4597,49,1,2022-10-04,Eligible,Passed,Offered,Rejected,Selection,5.0
4598,4598,48,2,2022-10-02,Eligible,Passed,Offered,Rejected,Selection,5.0
4599,4599,50,1,2022-10-15,Eligible,Passed,Offered,Rejected,Selection,5.0
4600,4600,49,1,2022-06-26,Eligible,Failed,Not Offered,Rejected,Interview,7.0
4601,4601,57,3,2022-11-25,Eligible,Passed,Offered,Rejected,Selection,5.0
4602,4602,49,2,2022-08-12,Eligible,Passed,Offered,Rejected,Selection,5.0
4603,4603,56,1,2022-05-14,Eligible,Passed,Offered,Rejected,Selection,5.0
4604,4604,56,1,2022-01-11,Eligible,Passed,Offered,Rejected,Selection,5.0
4605,4605,46,1,2022-12-26,Eligible,Passed,Offered,Rejected,Selection,5.0
4606,4606,47,3,2022-05-23,Eligible,Passed,Offered,Rejected,Selection,5.0
4607,4607,49,1,2022-06-17,Eligible,Passed,Offered,Rejected,Selection,5.0
4608,4608,48,1,2022-09-17,Eligible,Passed,Offered,Rejected,Selection,5.0
4609,4609,46,1,2022-07-01,Eligible,Passed,Offered,Rejected,Selection,5.0
4610,4610,46,5,2022-01-24,Eligible,Failed,Not Offered,Rejected,Interview,6.0
4611,4611,53,1,2022-08-20,Eligible,Passed,Offered,Rejected,Selection,5.0
4612,4612,49,3,2022-12-03,Eligible,Passed,Offered,Rejected,Selection,5.0
4613,4613,49,1,2022-07-08,Eligible,Failed,Not Offered,Rejected,Interview,6.0
4614,4614,54,1,2022-02-22,Eligible,Passed,Offered,Rejected,Selection,5.0
4615,4615,49,4,2022-02-25,Eligible,Passed,Offered,Rejected,Selection,5.0
4616,4616,52,1,2022-11-24,Eligible,Failed,Not Offered,Rejected,Interview,7.0
4617,4617,49,3,2022-01-04,Eligible,Passed,Offered,Rejected,Selection,5.0
4618,4618,56,4,2022-01-01,Eligible,Passed,Offered,Rejected,Selection,5.0
4619,4619,53,3,2022-11-25,Eligible,Failed,Not Offered,Rejected,Interview,6.0
4620,4620,55,1,2022-01-21,Eligible,Passed,Offered,Rejected,Selection,5.0
4621,4621,46,3,2022-08-05,Eligible,Failed,Not Offered,Rejected,Interview,6.0
4622,4622,46,1,2022-06-21,Eligible,Passed,Offered,Rejected,Selection,5.0
4623,4623,52,3,2022-06-08,Eligible,Passed,Offered,Rejected,Selection,5.0
4624,4624,52,1,2022-09-14,Eligible,Passed,Offered,Rejected,Selection,5.0
4625,4625,49,4,2022-03-04,Eligible,Passed,Offered,Rejected,Selection,5.0
4626,4626,48,5,2022-02-24,Eligible,Passed,Offered,Rejected,Selection,5.0
4627,4627,48,3,2022-04-19,Eligible,Passed,Offered,Rejected,Selection,5.0
4628,4628,52,2,2022-12-11,Eligible,Passed,Offered,Rejected,Selection,5.0
4629,4629,47,2,2022-01-02,Eligible,Passed,Offered,Rejected,Selection,5.0
4630,4630,47,1,2022-07-28,Eligible,Passed,Offered,Rejected,Selection,5.0
4631,4631,49,3,2022-01-06,Eligible,Passed,Offered,Rejected,Selection,5.0
4632,4632,49,2,2022-10-09,Eligible,Passed,Offered,Rejected,Selection,5.0
4633,4633,46,2,2022-01-04,Eligible,Passed,Offered,Rejected,Selection,5.0
4634,4634,56,5,2022-06-25,Eligible,Passed,Offered,Rejected,Selection,5.0
4635,4635,49,1,2022-05-06,Eligible,Passed,Offered,Rejected,Selection,5.0
4636,4636,52,1,2022-09-19,Not Eligible,Not Interviewed,Not Offered,Rejected,Eligibility,1.0
4637,4637,52,2,2022-09-19,Eligible,Failed,Not Offered,Rejected,Interview,6.0
4638,4638,56,5,2022-06-15,Eligible,Passed,Offered,Rejected,Selection,5.0
4639,4639,54,2,2022-03-24,Eligible,Passed,Offered,Rejected,Selection,5.0
4640,4640,46,5,2022-07-08,Eligible,Passed,Offered,Rejected,Selection,5.0
4641,4641,54,3,2022-11-25,Eligible,Passed,Offered,Rejected,Selection,5.0
4642,4642,46,1,2022-08-21,Eligible,Passed,Offered,Rejected,Selection,5.0
4643,4643,52,1,2022-09-22,Eligible,Passed,Offered,Rejected,Selection,5.0
4644,4644,57,1,2022-07-15,Eligible,Passed,Offered,Rejected,Selection,5.0
4645,4645,49,1,2022-02-16,Eligible,Failed,Not Offered,Rejected,Interview,6.0
4646,4646,47,4,2022-06-15,Not Eligible,Not Interviewed,Not Offered,Rejected,Eligibility,2.0
4647,4647,48,1,2022-04-22,Eligible,Passed,Offered,Rejected,Selection,5.0
4648,4648,49,2,2022-11-19,Eligible,Passed,Offered,Rejected,Selection,5.0
4649,4649,47,3,2022-02-20,Eligible,Passed,Offered,Rejected,Selection,5.0
4650,4650,48,2,2022-06-08,Eligible,Passed,Offered,Rejected,Selection,5.0
4651,4651,55,3,2022-10-14,Eligible,Passed,Offered,Rejected,Selection,5.0
4652,4652,49,7,2022-10-19,Eligible,Passed,Offered,Rejected,Selection,5.0
4653,4653,52,1,2022-05-16,Eligible,Passed,Offered,Rejected,Selection,5.0
4654,4654,57,3,2022-09-20,Eligible,Passed,Offered,Rejected,Selection,5.0
4655,4655,49,3,2022-04-08,Eligible,Passed,Offered,Rejected,Selection,5.0
4656,4656,50,1,2022-10-08,Eligible,Passed,Offered,Rejected,Selection,5.0
4657,4657,50,4,2022-08-23,Eligible,Passed,Offered,Rejected,Selection,5.0
4658,4658,49,5,2022-09-06,Eligible,Passed,Offered,Rejected,Selection,5.0
4659,4659,53,1,2022-11-09,Eligible,Passed,Offered,Rejected,Selection,5.0
4660,4660,47,1,2022-03-13,Eligible,Passed,Offered,Rejected,Selection,5.0
4661,4661,46,1,2022-12-20,Eligible,Passed,Offered,Rejected,Selection,5.0
4662,4662,46,1,2022-02-10,Eligible,Passed,Offered,Rejected,Selection,5.0
4663,4663,55,1,2022-09-12,Eligible,Passed,Offered,Rejected,Selection,5.0
4664,4664,48,1,2022-03-18,Eligible,Passed,Offered,Rejected,Selection,5.0
4665,4665,50,2,2022-07-22,Eligible,Failed,Not Offered,Rejected,Interview,7.0
4666,4666,55,4,2022-10-26,Eligible,Failed,Not Offered,Rejected,Interview,7.0
4667,4667,49,2,2022-12-19,Eligible,Passed,Offered,Rejected,Selection,5.0
4668,4668,55,6,2022-08-21,Eligible,Passed,Offered,Rejected,Selection,5.0
4669,4669,46,1,2022-05-16,Eligible,Passed,Offered,Rejected,Selection,5.0
4670,4670,46,2,2022-07-28,Eligible,Failed,Not Offered,Rejected,Interview,7.0
4671,4671,54,1,2022-08-04,Eligible,Passed,Offered,Rejected,Selection,5.0
4672,4672,54,1,2022-06-23,Not Eligible,Not Interviewed,Not Offered,Rejected,Eligibility,2.0
4673,4673,52,3,2022-09-27,Eligible,Passed,Offered,Rejected,Selection,5.0
4674,4674,49,1,2022-08-07,Eligible,Passed,Offered,Rejected,Selection,5.0
4675,4675,50,4,2022-09-02,Eligible,Passed,Offered,Rejected,Selection,5.0
4676,4676,52,1,2022-12-11,Eligible,Passed,Offered,Rejected,Selection,5.0
4677,4677,55,1,2022-02-05,Eligible,Passed,Offered,Rejected,Selection,5.0
4678,4678,52,4,2022-11-18,Eligible,Passed,Offered,Rejected,Selection,5.0
4679,4679,52,3,2022-10-05,Eligible,Passed,Offered,Rejected,Selection,5.0
4680,4680,47,4,2022-08-16,Eligible,Passed,Offered,Rejected,Selection,5.0
4681,4681,53,1,2022-02-15,Eligible,Passed,Offered,Rejected,Selection,5.0
4682,4682,56,3,2022-12-16,Eligible,Passed,Offered,Rejected,Selection,5.0
4683,4683,50,3,2022-07-22,Eligible,Failed,Not Offered,Rejected,Interview,6.0
4684,4684,56,2,2022-12-16,Eligible,Passed,Offered,Rejected,Selection,5.0
4685,4685,50,3,2022-11-02,Eligible,Passed,Offered,Rejected,Selection,5.0
4686,4686,49,3,2022-12-14,Eligible,Passed,Offered,Rejected,Selection,5.0
